date,price
datetime,float
T,
1978-04-20,33.874882
2000-03-02,33.875
1990-12-31,33.875
1990-11-16,33.875
1990-10-29,33.875
1985-03-20,33.875
1985-03-08,33.875
1985-01-29,33.875
1984-12-11,33.875
1984-12-05,33.875
1984-11-20,33.875
1984-11-14,33.875
1984-11-13,33.875
1984-06-08,33.875
1979-10-12,33.875038
2000-06-23,33.9375
1991-12-20,34
1991-01-04,34
1991-01-03,34
1991-01-02,34
1990-12-19,34
1985-03-11,34
1985-03-05,34
1985-01-07,34
1985-01-04,34
1984-12-06,34
1984-11-29,34
1984-07-24,34
1984-06-27,34
1984-06-11,34
1984-03-30,34
1984-03-29,34
2000-06-26,34.0625
1979-10-26,34.124962
1978-10-11,34.124962
2000-02-24,34.125
1985-03-12,34.125
1985-01-30,34.125
1984-12-10,34.125
1984-12-07,34.125
1984-07-13,34.125
2000-03-17,34.1875
1979-10-31,34.24992
1979-10-09,34.24992
1978-10-12,34.24992
1990-12-27,34.25
1990-11-15,34.25
1984-12-27,34.25
1984-12-24,34.25
1984-12-14,34.25
1984-12-04,34.25
1984-07-25,34.25
1984-06-04,34.25
1984-03-20,34.25
2009-03-09,34.279999
1991-04-10,34.375
1990-08-17,34.375
1985-03-19,34.375
1985-03-04,34.375
1985-01-10,34.375
1984-12-28,34.375
1984-11-26,34.375
1984-07-12,34.375
1984-07-05,34.375
1984-07-03,34.375
1984-07-02,34.375
2000-06-21,34.4375
2000-03-01,34.4375
2001-09-21,34.450001
1978-04-25,34.49984
1991-04-17,34.5
1991-04-09,34.5
1991-04-03,34.5
1991-01-17,34.5
1990-11-13,34.5
1990-10-26,34.5
1985-04-10,34.5
1985-04-09,34.5
1984-12-31,34.5
1984-12-26,34.5
1984-12-17,34.5
1984-11-28,34.5
1984-11-27,34.5
1984-11-23,34.5
1984-07-20,34.5
1984-06-28,34.5
1984-06-19,34.5
1984-06-07,34.5
1979-11-07,34.5
1979-09-26,34.5
1990-10-25,34.625
1985-01-11,34.625
1984-12-12,34.625
1984-03-28,34.625
2000-06-22,34.6875
2001-09-27,34.75
2000-03-03,34.75
2000-02-28,34.75
1991-12-11,34.75
1991-04-24,34.75
1990-11-12,34.75
1990-11-05,34.75
1985-04-11,34.75
1985-03-21,34.75
1984-07-19,34.75
1984-06-26,34.75
1984-06-05,34.75
1979-10-10,34.75008
2001-09-19,34.830002
1991-12-10,34.875
1991-11-29,34.875
1991-04-23,34.875
1991-04-08,34.875
1991-04-05,34.875
1991-04-04,34.875
1990-11-14,34.875
1984-11-12,34.875
1984-06-29,34.875
1979-09-27,34.875038
2001-09-26,34.900002
2000-02-29,34.9375
2001-09-20,34.950001
1991-10-07,35
1991-09-30,35
1991-05-01,35
1991-04-29,35
1991-04-26,35
1991-04-25,35
1991-04-19,35
1990-12-26,35
1990-12-21,35
1990-08-20,35
1985-03-18,35
1985-03-01,35
1984-07-17,35
1984-06-20,35
1979-11-06,35
1979-10-11,35
2000-06-20,35.125
1992-09-23,35.125
1991-11-27,35.125
1991-10-09,35.125
1991-10-08,35.125
1991-10-04,35.125
1991-10-03,35.125
1991-03-25,35.125
1991-03-22,35.125
1990-12-24,35.125
1990-08-21,35.125
1985-03-25,35.125
1985-01-18,35.125
1984-07-18,35.125
1984-07-06,35.125
2000-05-25,35.1875
1999-09-24,35.1875
1979-11-05,35.24992
1999-09-23,35.25
1991-12-12,35.25
1991-10-01,35.25
1991-09-27,35.25
1991-04-30,35.25
1991-04-18,35.25
1991-04-01,35.25
1985-04-12,35.25
1985-03-28,35.25
1985-01-23,35.25
2000-02-23,35.375
1991-04-22,35.375
1985-04-08,35.375
1984-07-11,35.375
1984-07-09,35.375
1984-06-25,35.375
1984-06-22,35.375
1979-11-01,35.375038
2000-06-19,35.4375
2000-03-20,35.4375
2000-05-31,35.5
2000-05-30,35.5
2000-03-16,35.5
1999-09-27,35.5
1992-09-22,35.5
1991-12-23,35.5
1991-11-26,35.5
1991-05-02,35.5
1991-04-02,35.5
1990-08-22,35.5
1985-01-22,35.5
1985-01-14,35.5
1984-07-26,35.5
1984-06-21,35.5
1979-10-29,35.5
1979-09-28,35.5
1979-11-02,35.624962
2000-02-17,35.625
1992-10-02,35.625
1991-12-09,35.625
1991-03-21,35.625
1985-04-04,35.625
1985-04-03,35.625
1985-03-26,35.625
1985-02-01,35.625
1984-12-19,35.625
1984-06-06,35.625
2001-10-01,35.639999
2000-06-01,35.6875
2001-09-24,35.73
2001-09-25,35.75
2000-06-16,35.75
1991-12-02,35.75
1991-11-25,35.75
1991-09-23,35.75
1991-03-26,35.75
1991-03-20,35.75
1990-09-27,35.75
1990-09-24,35.75
1988-01-25,35.75
1985-01-15,35.75
1984-07-10,35.75
2009-03-06,35.759998
1992-10-01,35.875
1991-12-13,35.875
1991-12-06,35.875
1991-12-03,35.875
1991-10-02,35.875
1991-09-26,35.875
1991-03-27,35.875
1990-10-24,35.875
1988-01-27,35.875
1988-01-26,35.875
1985-04-15,35.875
1985-03-29,35.875
1985-03-22,35.875
2001-09-18,35.900002
2000-02-15,35.9375
2000-05-23,36
2000-05-03,36
2000-02-22,36
1991-12-05,36
1991-09-18,36
1990-08-23,36
1984-07-27,36
1984-02-13,36
1979-10-30,36
1979-10-08,36
1979-10-05,36
2000-06-12,36.03125
2000-05-17,36.0625
2000-06-08,36.125
2000-05-24,36.125
1992-09-30,36.125
1992-09-29,36.125
1991-03-19,36.125
1990-08-16,36.125
1985-04-02,36.125
1985-03-27,36.125
1985-02-06,36.125
1985-02-04,36.125
1984-12-18,36.125
1978-05-24,36.125118
1978-05-03,36.125118
1978-04-27,36.125118
1978-04-26,36.125118
2000-05-22,36.25
2000-05-19,36.25
2000-04-17,36.25
1991-11-22,36.25
1991-09-24,36.25
1991-09-20,36.25
1991-03-28,36.25
1990-09-28,36.25
1990-09-26,36.25
1990-09-19,36.25
1985-01-21,36.25
2000-06-09,36.3125
2000-02-14,36.3125
2001-06-26,36.349998
1999-09-28,36.375
1999-09-22,36.375
1991-09-19,36.375
1991-09-13,36.375
1990-09-20,36.375
1984-07-30,36.375
1984-02-15,36.375
1979-11-08,36.375038
2000-06-15,36.4375
2000-05-15,36.4375
2000-02-16,36.4375
2001-10-02,36.5
2000-06-13,36.5
2000-05-16,36.5
1992-09-28,36.5
1992-09-24,36.5
1992-09-21,36.5
1992-09-17,36.5
1991-11-15,36.5
1991-09-17,36.5
1991-09-16,36.5
1990-10-09,36.5
1990-09-25,36.5
1985-04-22,36.5
1985-04-01,36.5
1985-02-12,36.5
1985-02-11,36.5
1985-01-17,36.5
1984-02-10,36.5
2000-03-21,36.625
1992-10-05,36.625
1992-09-18,36.625
1991-09-25,36.625
1991-05-03,36.625
1988-01-22,36.625
1987-12-10,36.625
1985-02-05,36.625
1985-01-16,36.625
1984-03-15,36.625
1984-02-17,36.625
1984-02-14,36.625
1984-02-06,36.625
2001-06-25,36.630001
2000-06-02,36.6875
2001-09-28,36.75
